GENE	gene	condition
FSHR	FSHR	Premature Ovarian Failure Sequencing Panel
FUCA1	FUCA1	FUCA1 Del/Dup
FUCA1	FUCA1	FUCA1 Gene Sequencing
FZD4	FZD4	FZD4 Del/Dup
FZD4	FZD4	FZD4 Gene Sequencing
FZD4	FZD4	GBack To Top
G6PC	G6PC	Combined Mito Genome Plus Mito Nuclear Gene Panel
G6PC	G6PC	Comprehensive Mitochondrial Nuclear Gene Panel
G6PC	G6PC	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
GAA	GAA	GAA Del/Dup
GAA	GAA	GAA Gene Sequencing
GAA	GAA	Neuromuscular Disorders Panel
GABRA1	GABRA1	Childhood-Onset Epilepsy Panel
GABRA1	GABRA1	Infantile Epilepsy Panel
GABRA1	GABRA1	Comprehensive Epilepsy Panel
GABRG2	GABRG2	Childhood-Onset Epilepsy Panel
GABRG2	GABRG2	Infantile Epilepsy Panel
GABRG2	GABRG2	Comprehensive Epilepsy Panel
GALC	GALC	GALC Del/Dup
GALC	GALC	GALC Gene Sequencing & Del/Dup
GALK1	GALK1	GALK1 Del/Dup
GALK1	GALK1	GALK1 Gene Sequencing
GALNS	GALNS	GALNS Del/Dup
GALNS	GALNS	GALNS Gene Sequencing
GALT	GALT	GALT Del/Dup
GALT	GALT	GALT Gene Sequencing & Del/Dup
GAMT	GAMT	Childhood-Onset Epilepsy Panel
GAMT	GAMT	Infantile Epilepsy Panel
GAMT	GAMT	Comprehensive Epilepsy Panel
GAN	GAN	Hereditary Neuropathy Panel
GARS	GARS	Axonal CMT Panel
GARS	GARS	Hereditary Neuropathy Panel
GATAD1	GATAD1	Comprehensive Cardiomyopathy Panel
GATM	GATM	Childhood-Onset Epilepsy Panel
GATM	GATM	Comprehensive Epilepsy Panel
GCDH	GCDH	GCDH Del/Dup
GCDH	GCDH	GCDH Gene Sequencing
GCH1	GCH1	GCH1 Del/Dup
GCH1	GCH1	GCH1 Gene Sequencing
GCH1	GCH1	GCH1 Gene Sequencing & Del/Dup
GCK	GCK	MODY Sequencing Panel
GDAP1	GDAP1	Demyelinating CMT Panel
GDAP1	GDAP1	Axonal CMT Panel
GDAP1	GDAP1	Hereditary Neuropathy Panel
GDF9	GDF9	Premature Ovarian Failure Sequencing Panel
GFAP	GFAP	GFAP Gene Sequencing
GFER	GFER	Combined Mito Genome Plus Mito Nuclear Gene Panel
GFER	GFER	Comprehensive Mitochondrial Nuclear Gene Panel
GFER	GFER	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
GFER	GFER	GFM1 (EFG1)
GFER	GFER	Combined Mito Genome Plus Mito Nuclear Gene Panel
GFER	GFER	Comprehensive Mitochondrial Nuclear Gene Panel
GFER	GFER	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
GFER	GFER	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
GFM2	GFM2	Combined Mito Genome Plus Mito Nuclear Gene Panel
GFM2	GFM2	Comprehensive Mitochondrial Nuclear Gene Panel
GFM2	GFM2	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
GJB1	GJB1	Demyelinating CMT Panel
GJB1	GJB1	Axonal CMT Panel
GJB1	GJB1	Core CMT Panel
GJB1	GJB1	Hereditary Neuropathy Panel
GJB1	GJB1	GJB2 (Cx26)
GJB1	GJB1	GJB2 Gene Sequencing
GJB1	GJB1	Congenital Ichthyosis XomeDxSlice
GJB1	GJB1	GJB3 (Cx31)
GJB1	GJB1	Connexin Gene Testing
GJB1	GJB1	Congenital Ichthyosis XomeDxSlice
GJB1	GJB1	GJB4 (Cx30.3)
GJB1	GJB1	Connexin Gene Testing
GJB1	GJB1	Congenital Ichthyosis XomeDxSlice
GJB1	GJB1	GJB6 (Cx30)
GJB1	GJB1	GJB6 Gene Sequencing
GJB1	GJB1	Congenital Ichthyosis XomeDxSlice
GK	GK	GK Del/Dup
GK	GK	GK Gene Sequencing
GLA	GLA	HCM Sequencing Panel
GLA	GLA	GLA Del/Dup (Females)
GLA	GLA	GLA Gene Sequencing
GLA	GLA	Cardiomyopathies Del/Dup Panel
GLA	GLA	Hereditary Neuropathy Panel
GLA	GLA	Comprehensive Cardiomyopathy Panel
GLB1	GLB1	GLB1 Del/Dup
GLB1	GLB1	GLB1 Gene Sequencing
GLI3	GLI3	Syndromic Macrocephaly/Overgrowth Panel
GLI3	GLI3	GLI3 Gene Sequencing & Del/Dup
GLI3	GLI3	GLI3 Remaining Exons Sequencing & Del/Dup
GLI3	GLI3	GLI3 Select Exons Sequencing
GLUD1	GLUD1	Fatty Acid Oxidation Sequencing Panel
GLUD1	GLUD1	Reflex Del/Dup Testing After Fatty Acid Oxidation Disorders Panel
GLUD1	GLUD1	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
GLUD1	GLUD1	Reflex Del/Dup Testing after Hyperammonemia Panel
GMPPB	GMPPB	Syndromic Congenital Muscular Dystrophy Panel
GMPPB	GMPPB	Limb-Girdle Muscular Dystrophy Panel
GMPPB	GMPPB	Neuromuscular Disorders Panel
GNAT1	GNAT1	GNAT1 Gene Sequencing
GNE	GNE	GNE (M712T) Mutation Analysis
GNE	GNE	GNE Del/Dup
GNE	GNE	Neuromuscular Disorders Panel
GNRH1	GNRH1	Hypogonadotropic Hypogonadism Gene Sequencing and Del/Dup Panel
GNRHR	GNRHR	Hypogonadotropic Hypogonadism Gene Sequencing and Del/Dup Panel
GNS	GNS	GNS Del/Dup
GNS	GNS	GNS Gene Sequencing & Del/Dup
GNS	GNS	Sanfilippo/MPSIII Sequencing Panel
GOSR2	GOSR2	Progressive Myoclonic Epilepsy Panel
GOSR2	GOSR2	Childhood-Onset Epilepsy Panel
GOSR2	GOSR2	Comprehensive Epilepsy Panel
GPC3	GPC3	Syndromic Macrocephaly/Overgrowth Panel
GPC3	GPC3	GPC3 Del/Dup
GPC3	GPC3	GPC3 Gene Sequencing & Del/Dup (Females)
GPC3	GPC3	GPC3 Gene Sequencing (Males)
GPD1L	GPD1L	Comprehensive Arrhythmia Panel
GPD1L	GPD1L	BrS Sequencing Panel
GPD1L	GPD1L	Other Arrhythmic Disorders Del/Dup Panel
ADGRG1	GPR56	Cortical Brain Malformations Panel
ADGRG1	GPR56	Comprehensive Brain Malformations Panel
ADGRV1	GPR98	Usher Syndrome Del/Dup Panel
ADGRV1	GPR98	Usher Syndrome Panel
GRIN2A	GRIN2A	Childhood-Onset Epilepsy Panel
GRIN2A	GRIN2A	Infantile Epilepsy Panel
GRIN2A	GRIN2A	Comprehensive Epilepsy Panel
GRIN2B	GRIN2B	Infantile Epilepsy Panel
GRIN2B	GRIN2B	Comprehensive Epilepsy Panel
GRM6	GRM6	GRM6 Gene Sequencing
GUCA1A	GUCA1A	GUCA1A Del/Dup
GUCA1A	GUCA1A	GUCA1A Gene Sequencing
GUCY2D	GUCY2D	GUCY2D Del/Dup
GUCY2D	GUCY2D	GUCY2D Gene Sequencing
GUCY2D	GUCY2D	GUCY2D Select Exons Sequencing
GUCY2D	GUCY2D	LCA Tier 4
GUCY2D	GUCY2D	LCA Tier 1
GYS2	GYS2	Combined Mito Genome Plus Mito Nuclear Gene Panel
GYS2	GYS2	Comprehensive Mitochondrial Nuclear Gene Panel
GYS2	GYS2	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
GYS2	GYS2	HBack To Top
HADH	HADH	HADH Del/Dup
HADH	HADH	HADH Gene Sequencing
HADHA	HADHA	Fatty Acid Oxidation Sequencing Panel
HADHA	HADHA	Reflex Del/Dup Testing After Fatty Acid Oxidation Disorders Panel
HADHA	HADHA	HADHA Common Mutation (c.1528 G>C)
HADHA	HADHA	HADHA Del/Dup
HADHA	HADHA	HADHA Gene Sequencing
HADHA	HADHA	HADHA/HADHB Gene Sequencing
HADHA	HADHA	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
HADHA	HADHA	Reflex Del/Dup Testing after Hyperammonemia Panel
HADHB	HADHB	Fatty Acid Oxidation Sequencing Panel
HADHB	HADHB	Reflex Del/Dup Testing After Fatty Acid Oxidation Disorders Panel
HADHB	HADHB	HADHB Del/Dup
HADHB	HADHB	HADHB Gene Sequencing
HADHB	HADHB	HADHA/HADHB Gene Sequencing
HADHB	HADHB	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
HADHB	HADHB	Reflex Del/Dup Testing after Hyperammonemia Panel
HARS2	HARS2	Combined Mito Genome Plus Mito Nuclear Gene Panel
HARS2	HARS2	Comprehensive Mitochondrial Nuclear Gene Panel
HAX1	HAX1	HAX1 Del/Dup
HAX1	HAX1	HAX1 Gene Sequencing
HCN4	HCN4	Comprehensive Arrhythmia Panel
HESX1	HESX1	HESX1 Del/Dup
HESX1	HESX1	HESX1 Gene Sequencing
HEXA	HEXA	HEXA Del/Dup
HEXA	HEXA	HEXA Gene Sequencing
HEXB	HEXB	HEXB Del/Dup
HEXB	HEXB	HEXB Gene Sequencing & Del/Dup
HGSNAT	HGSNAT	HGSNAT Del/Dup
HGSNAT	HGSNAT	HGSNAT Gene Sequencing
HGSNAT	HGSNAT	Sanfilippo/MPSIII Sequencing Panel
HLCS	HLCS	Combined Mito Genome Plus Mito Nuclear Gene Panel
HLCS	HLCS	Comprehensive Mitochondrial Nuclear Gene Panel
HLCS	HLCS	HLCS Del/Dup
HLCS	HLCS	HLCS Gene Sequencing
HLCS	HLCS	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
HLCS	HLCS	Reflex Del/Dup Testing after Hyperammonemia Panel
HLCS	HLCS	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
HLCS	HLCS	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
HMGCL	HMGCL	Fatty Acid Oxidation Sequencing Panel
HMGCL	HMGCL	Reflex Del/Dup Testing After Fatty Acid Oxidation Disorders Panel
HMGCL	HMGCL	HMGCL Del/Dup
HMGCL	HMGCL	HMGCL Exon 2 Sequencing
HMGCL	HMGCL	HMGCL Gene Sequencing
HMGCL	HMGCL	HMGCL Remaining Exons Sequencing
HMGCL	HMGCL	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
HMGCL	HMGCL	Reflex Del/Dup Testing after Hyperammonemia Panel
HMGCS2	HMGCS2	Fatty Acid Oxidation Sequencing Panel
HMGCS2	HMGCS2	Reflex Del/Dup Testing After Fatty Acid Oxidation Disorders Panel
HMGCS2	HMGCS2	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
HMGCS2	HMGCS2	Reflex Del/Dup Testing after Hyperammonemia Panel
HNF1A	HNF1A	MODY Sequencing Panel
HNF1B	HNF1B	MODY Sequencing Panel
HNF4A	HNF4A	MODY Sequencing Panel
HOXD13	HOXD13	HOXD13 Del/Dup
HOXD13	HOXD13	HOXD13 Gene Sequencing
HPD	HPD	HPD Del/Dup
HPD	HPD	HPD Gene Sequencing
HPS1	HPS1	HPS1 & HPS3 Mutation Analysis (Puerto Rican)
HPS3	HPS3	HPS3 Mutation Analysis (Ashkenazi Jewish)
HPS3	HPS3	HPS1 & HPS3 Mutation Analysis (Puerto Rican)
HRAS	HRAS	Prenatal Noonan Spectrum Disorders Panel
HRAS	HRAS	Noonan and RASopathies Panel
HRAS	HRAS	HRAS Gene Sequencing
HRAS	HRAS	Comprehensive Cardiomyopathy Panel
HSD17B10	HSD17B10	HSD17B10 Del/Dup (Females)
HSD17B10	HSD17B10	HSD17B10 Gene Sequencing
HSPB1	HSPB1	Axonal CMT Panel
HSPB1	HSPB1	Hereditary Neuropathy Panel
HSPB8	HSPB8	Axonal CMT Panel
HSPB8	HSPB8	Hereditary Neuropathy Panel
HSPD1	HSPD1	Combined Mito Genome Plus Mito Nuclear Gene Panel
HSPD1	HSPD1	Comprehensive Mitochondrial Nuclear Gene Panel
HSPD1	HSPD1	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
HSPD1	HSPD1	IBack To Top
IER3IP1	IER3IP1	Microcephaly Panel
IGHMBP2	IGHMBP2	IGHMBP2 Del/Dup
IGHMBP2	IGHMBP2	IGHMBP2 Gene Sequencing
IGHMBP2	IGHMBP2	Hereditary Neuropathy Panel
IGHMBP2	IGHMBP2	Neuromuscular Disorders Panel
IKBKAP	IKBKAP	Hereditary Neuropathy Panel
IKBKAP	IKBKAP	IKBKG (NEMO)
IKBKAP	IKBKAP	IKBKG (NEMO) Common Deletion (Female)
IKBKAP	IKBKAP	IKBKG (NEMO) Gene Sequencing & Del/Dup
IKBKAP	IKBKAP	IKBKG (NEMO) Gene Sequencing (HED)
IKBKAP	IKBKAP	IKBKG (NEMO) Gene Sequencing (IP)
IL2RG	IL2RG	B-positive SCID Panel
IL2RG	IL2RG	Comprehensive SCID Panel
IL2RG	IL2RG	IL2RG Del/Dup
IL2RG	IL2RG	IL2RG Gene Sequencing
IL7R	IL7R	B-positive SCID Panel
IL7R	IL7R	Comprehensive SCID Panel
IL7R	IL7R	IL7R Del/Dup
IL7R	IL7R	IL7R Gene Sequencing
ILK	ILK	Comprehensive Cardiomyopathy Panel
IMPDH1	IMPDH1	adRP Tier 3
IMPDH1	IMPDH1	IMPDH1 Gene Sequencing
IMPDH1	IMPDH1	adRP Tier 1
INPP5E	INPP5E	Joubert Syndrome and Related Disorders Panel
INPP5E	INPP5E	Comprehensive Brain Malformations Panel
IRAK4	IRAK4	IRAK4 Del/Dup
IRAK4	IRAK4	IRAK4 Gene Sequencing
IRF6	IRF6	IRF6 Del/Dup
IRF6	IRF6	IRF6 Exon 4 Sequencing
IRF6	IRF6	IRF6 Gene Sequencing
ISCU	ISCU	Combined Mito Genome Plus Mito Nuclear Gene Panel
ISCU	ISCU	Comprehensive Mitochondrial Nuclear Gene Panel
ISCU	ISCU	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
ISPD	ISPD	Syndromic Congenital Muscular Dystrophy Panel
ISPD	ISPD	Neuromuscular Disorders Panel
ITGA6	ITGA6	ITGA6 Gene Sequencing
ITGA7	ITGA7	Syndromic Congenital Muscular Dystrophy Panel
ITGA7	ITGA7	Congenital Myopathies & Muscular Dystrophies Panel
ITGA7	ITGA7	Neuromuscular Disorders Panel
ITGB2	ITGB2	ITGB2 Del/Dup
ITGB2	ITGB2	ITGB2 Gene Sequencing
ITGB4	ITGB4	ITGB4 Gene Sequencing
IVD	IVD	IVD Del/Dup
IVD	IVD	IVD Gene Sequencing
IVD	IVD	IVD Tier 1
IVD	IVD	IVD Tier 2
IVD	IVD	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
IVD	IVD	Reflex Del/Dup Testing after Hyperammonemia Panel
NIPAL4	NIPAL4	Ichthyin(NIPAL4) Gene Sequencing
NIPAL4	NIPAL4	Congenital Ichthyosis XomeDxSlice
NIPAL4	NIPAL4	JBack To Top
JAG1	JAG1	JAG1 Del/Dup
JAG1	JAG1	JAG1 Gene Sequencing & Del/Dup
JAG1	JAG1	JAG1 Tier 1
JAG1	JAG1	JAG1 Tier 2
JAK3	JAK3	B-positive SCID Panel
JAK3	JAK3	Comprehensive SCID Panel
JAK3	JAK3	JAK3 Del/Dup
JAK3	JAK3	JAK3 Gene Sequencing
JPH2	JPH2	Comprehensive Cardiomyopathy Panel
JUP	JUP	Comprehensive Arrhythmia Panel
JUP	JUP	Comprehensive Cardiomyopathy Panel
JUP	JUP	ARVC Del/Dup Panel
JUP	JUP	ARVC Sequencing Panel
JUP	JUP	KBack To Top
ANOS1	KAL1	Hypogonadotropic Hypogonadism Gene Sequencing and Del/Dup Panel
ANOS1	KAL1	KAL1 Del/Dup
ANOS1	KAL1	KAL1 Gene Sequencing
KANSL1	KANSL1	Childhood-Onset Epilepsy Panel
KANSL1	KANSL1	Infantile Epilepsy Panel
KANSL1	KANSL1	Comprehensive Epilepsy Panel
KBTBD13	KBTBD13	Congenital Myopathies & Muscular Dystrophies Panel
KBTBD13	KBTBD13	Neuromuscular Disorders Panel
KCNE1	KCNE1	Sudden Cardiac Arrest Arrhythmia Sequencing Panel
KCNE1	KCNE1	LQTS Del/Dup Panel
KCNE1	KCNE1	LQTS Sequencing Panel
KCNE1	KCNE1	LQTS Gene Sequencing & Del/Dup Panel
KCNE1	KCNE1	Comprehensive Arrhythmia Panel
KCNE2	KCNE2	Sudden Cardiac Arrest Arrhythmia Sequencing Panel
KCNE2	KCNE2	LQTS Del/Dup Panel
KCNE2	KCNE2	LQTS Sequencing Panel
KCNE2	KCNE2	LQTS Gene Sequencing & Del/Dup Panel
KCNE2	KCNE2	Comprehensive Arrhythmia Panel
KCNE3	KCNE3	Comprehensive Arrhythmia Panel
KCNE3	KCNE3	BrS Sequencing Panel
KCNH2	KCNH2	Sudden Cardiac Arrest Arrhythmia Sequencing Panel
KCNH2	KCNH2	LQTS Del/Dup Panel
KCNH2	KCNH2	LQTS Sequencing Panel
KCNH2	KCNH2	LQTS Gene Sequencing & Del/Dup Panel
KCNH2	KCNH2	Comprehensive Arrhythmia Panel
KCNH2	KCNH2	SQTS Sequencing Panel
KCNJ10	KCNJ10	Infantile Epilepsy Panel
KCNJ10	KCNJ10	Comprehensive Epilepsy Panel
KCNJ2	KCNJ2	Sudden Cardiac Arrest Arrhythmia Sequencing Panel
KCNJ2	KCNJ2	LQTS Del/Dup Panel
KCNJ2	KCNJ2	LQTS Sequencing Panel
KCNJ2	KCNJ2	LQTS Gene Sequencing & Del/Dup Panel
KCNJ2	KCNJ2	Comprehensive Arrhythmia Panel
KCNJ2	KCNJ2	SQTS Sequencing Panel
KCNJ2	KCNJ2	CPVT Sequencing Panel
KCNJ5	KCNJ5	Comprehensive Arrhythmia Panel
KCNJ8	KCNJ8	Comprehensive Arrhythmia Panel
KCNQ1	KCNQ1	Sudden Cardiac Arrest Arrhythmia Sequencing Panel
KCNQ1	KCNQ1	LQTS Del/Dup Panel
KCNQ1	KCNQ1	LQTS Sequencing Panel
KCNQ1	KCNQ1	LQTS Gene Sequencing & Del/Dup Panel
KCNQ1	KCNQ1	Comprehensive Arrhythmia Panel
KCNQ1	KCNQ1	SQTS Sequencing Panel
KCNQ2	KCNQ2	STAT Epilepsy Panel
KCNQ2	KCNQ2	Infantile Epilepsy Panel
KCNQ2	KCNQ2	Comprehensive Epilepsy Panel
KCNQ3	KCNQ3	STAT Epilepsy Panel
KCNQ3	KCNQ3	Infantile Epilepsy Panel
KCNQ3	KCNQ3	Comprehensive Epilepsy Panel
KCTD7	KCTD7	Progressive Myoclonic Epilepsy Panel
KCTD7	KCTD7	Childhood-Onset Epilepsy Panel
KCTD7	KCTD7	Infantile Epilepsy Panel
KCTD7	KCTD7	Comprehensive Epilepsy Panel
KIF1A	KIF1A	Hereditary Neuropathy Panel
KIF7	KIF7	Joubert Syndrome and Related Disorders Panel
KIF7	KIF7	Comprehensive Brain Malformations Panel
KISS1	KISS1	Hypogonadotropic Hypogonadism Gene Sequencing and Del/Dup Panel
KISS1R	KISS1R	Hypogonadotropic Hypogonadism Gene Sequencing and Del/Dup Panel
KLHL40	KLHL40	Neuromuscular Disorders Panel
KMT2D	KMT2D	KMT2D Del/Dup
KMT2D	KMT2D	KMT2D Gene Sequencing
KRAS	KRAS	Prenatal Noonan Spectrum Disorders Panel
KRAS	KRAS	Noonan and RASopathies Panel
KRAS	KRAS	Comprehensive Cardiomyopathy Panel
KRIT1	KRIT1	CCM Tier 1
KRIT1	KRIT1	Cerebral Cavernous Malformations (CCM) Panel
KRIT1	KRIT1	CCM Del/Dup Panel
KRIT1	KRIT1	CCM Tier 2
KRT1	KRT1	KRT1 Gene Sequencing
KRT1	KRT1	KRT1 Gene Sequencing (EI)
KRT1	KRT1	KRT1, KRT10 Hot Spots
KRT1	KRT1	Congenital Ichthyosis XomeDxSlice
KRT10	KRT10	KRT10 Gene Sequencing
KRT10	KRT10	KRT1, KRT10 Hot Spots
KRT10	KRT10	Congenital Ichthyosis XomeDxSlice
KRT13	KRT13	KRT13 Gene Sequencing
KRT13	KRT13	KRT4, KRT13 Hot Spots
KRT14	KRT14	KRT14 Gene Sequencing
KRT14	KRT14	KRT5/14 Hot Spots
KRT16	KRT16	KRT16 Hot Spots
KRT16	KRT16	KRT6A, KRT16 Hot Spots
KRT17	KRT17	KRT17 Hot Spots
KRT17	KRT17	KRT6B, KRT17 Hot Spots
KRT2	KRT2	KRT2 Hot Spots
KRT2	KRT2	Congenital Ichthyosis XomeDxSlice
KRT4	KRT4	KRT4 Gene Sequencing
KRT4	KRT4	KRT4, KRT13 Hot Spots
KRT5	KRT5	KRT5 Gene Sequencing
KRT5	KRT5	KRT5/14 Hot Spots
KRT6A	KRT6A	KRT6A Gene Sequencing
KRT6A	KRT6A	KRT6A, KRT16 Hot Spots
KRT6B	KRT6B	KRT6B Gene Sequencing
KRT6B	KRT6B	KRT6B, KRT17 Hot Spots
KRT9	KRT9	KRT9 Hot Spots
KRT9	KRT9	Congenital Ichthyosis XomeDxSlice
KRT9	KRT9	LBack To Top
L1CAM	L1CAM	L1CAM Del/Dup
L1CAM	L1CAM	L1CAM Gene Sequencing (Males)
L1CAM	L1CAM	Prenatal L1CAM Gene Sequencing & Del/Dup (Females)
L1CAM	L1CAM	Prenatal L1CAM Gene Sequencing (Males)
LAMA2	LAMA2	Congenital Myopathies & Muscular Dystrophies Panel
LAMA2	LAMA2	Neuromuscular Disorders Panel
LAMA3	LAMA3	LAMA3 Del/Dup
LAMA3	LAMA3	LAMA3 Gene Sequencing
LAMA4	LAMA4	Comprehensive Cardiomyopathy Panel
LAMB3	LAMB3	LAMB3 Del/Dup
LAMB3	LAMB3	LAMB3 Gene Sequencing
LAMC2	LAMC2	LAMC2 Del/Dup
LAMC2	LAMC2	LAMC2 Gene Sequencing
LAMC3	LAMC3	Cortical Brain Malformations Panel
LAMC3	LAMC3	Comprehensive Brain Malformations Panel
LAMP2	LAMP2	HCM Sequencing Panel
LAMP2	LAMP2	Cardiomyopathies Del/Dup Panel
LAMP2	LAMP2	DCM/LVNC Sequencing Panel
LAMP2	LAMP2	Neuromuscular Disorders Panel
LAMP2	LAMP2	Comprehensive Cardiomyopathy Panel
LARGE	LARGE	Syndromic Congenital Muscular Dystrophy Panel
LARGE	LARGE	Cortical Brain Malformations Panel
LARGE	LARGE	Comprehensive Brain Malformations Panel
LARGE	LARGE	Neuromuscular Disorders Panel
LARS	LARS	Combined Mito Genome Plus Mito Nuclear Gene Panel
LARS	LARS	Comprehensive Mitochondrial Nuclear Gene Panel
LARS	LARS	LDB3 (ZASP)
LARS	LARS	Cardiomyopathies Del/Dup Panel
LARS	LARS	DCM/LVNC Sequencing Panel
LARS	LARS	Neuromuscular Disorders Panel
LARS	LARS	Comprehensive Cardiomyopathy Panel
LARS	LARS	Myofibrillar Myopathy Panel
LGI1	LGI1	Childhood-Onset Epilepsy Panel
LGI1	LGI1	Comprehensive Epilepsy Panel
LHCGR	LHCGR	Premature Ovarian Failure Sequencing Panel
LIAS	LIAS	Combined Mito Genome Plus Mito Nuclear Gene Panel
LIAS	LIAS	Comprehensive Mitochondrial Nuclear Gene Panel
LIAS	LIAS	Infantile Epilepsy Panel
LIAS	LIAS	Comprehensive Epilepsy Panel
LIAS	LIAS	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
LIAS	LIAS	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
LIG4	LIG4	Comprehensive SCID Panel
LIG4	LIG4	B-negative SCID Panel
LIPA	LIPA	LIPA Del/Dup
LIPA	LIPA	LIPA Gene Sequencing
LIPN	LIPN	Congenital Ichthyosis XomeDxSlice
LITAF	LITAF	Demyelinating CMT Panel
LITAF	LITAF	Hereditary Neuropathy Panel
LMBR1	LMBR1	ZRS Del/Dup Analysis (Intron 5 of LMBR1 Gene)
LMBR1	LMBR1	ZRS Sequence Analysis (Intron 5 of LMBR1 Gene)
LMBRD1	LMBRD1	Methylmalonic Acidemia, Cobalamin Metabolism and Related Disorders Sequencing Panel
LMBRD1	LMBRD1	Reflex Del/Dup Testing After MMA and Related Disorders Panel
LMNA	LMNA	Syndromic Congenital Muscular Dystrophy Panel
LMNA	LMNA	Axonal CMT Panel
LMNA	LMNA	Congenital Myopathies & Muscular Dystrophies Panel
LMNA	LMNA	Cardiomyopathies Del/Dup Panel
LMNA	LMNA	Limb-Girdle Muscular Dystrophy Panel
LMNA	LMNA	DCM/LVNC Sequencing Panel
LMNA	LMNA	Hereditary Neuropathy Panel
LMNA	LMNA	Neuromuscular Disorders Panel
LMNA	LMNA	Comprehensive Cardiomyopathy Panel
LOR	LOR	Congenital Ichthyosis XomeDxSlice
LPIN2	LPIN2	Periodic Fever Syndromes Panel (7 genes)
LRP5	LRP5	LRP5 Del/Dup
LRP5	LRP5	LRP5 Gene Sequencing
LRPPRC	LRPPRC	Combined Mito Genome Plus Mito Nuclear Gene Panel
LRPPRC	LRPPRC	Comprehensive Mitochondrial Nuclear Gene Panel
LRPPRC	LRPPRC	Mitochondrial Complex IV Deficiency Nuclear Gene Panel
LRPPRC	LRPPRC	Lactic Acidosis/Pyruvate Metabolism Nuclear Gene Panel
LRPPRC	LRPPRC	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
LRSAM1	LRSAM1	Axonal CMT Panel
LRSAM1	LRSAM1	Hereditary Neuropathy Panel
LRSAM1	LRSAM1	MBack To Top
MAGI2	MAGI2	Childhood-Onset Epilepsy Panel
MAGI2	MAGI2	Infantile Epilepsy Panel
MAGI2	MAGI2	Comprehensive Epilepsy Panel
MAP2K1	MAP2K1	Prenatal Noonan Spectrum Disorders Panel
MAP2K1	MAP2K1	Noonan and RASopathies Panel
MAP2K1	MAP2K1	MAP2K1 Del/Dup
MAP2K1	MAP2K1	Comprehensive Cardiomyopathy Panel
MAP2K2	MAP2K2	Prenatal Noonan Spectrum Disorders Panel
MAP2K2	MAP2K2	Noonan and RASopathies Panel
MAP2K2	MAP2K2	MAP2K2 Del/Dup
MAP2K2	MAP2K2	Comprehensive Cardiomyopathy Panel
MARS2	MARS2	Combined Mito Genome Plus Mito Nuclear Gene Panel
MARS2	MARS2	Comprehensive Mitochondrial Nuclear Gene Panel
MARS2	MARS2	Mitochondrial Encephalopathy/ Leigh Syndrome Nuclear Gene Panel
MAT1A	MAT1A	MAT1A Del/Dup
MAT1A	MAT1A	MAT1A Gene Sequencing
MBD5	MBD5	Rett/Angelman Syndrome Panel
MBD5	MBD5	Childhood-Onset Epilepsy Panel
MBD5	MBD5	Infantile Epilepsy Panel
MBD5	MBD5	Comprehensive Epilepsy Panel
MBTPS2	MBTPS2	MBTPS2 Gene Sequencing
MCCC1	MCCC1	MCCC1 Del/Dup
MCCC1	MCCC1	MCCC1 Gene Sequencing
MCCC1	MCCC1	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
MCCC1	MCCC1	Reflex Del/Dup Testing after Hyperammonemia Panel
MCCC2	MCCC2	MCCC2 Del/Dup
MCCC2	MCCC2	MCCC2 Gene Sequencing
MCCC2	MCCC2	Hyperammonemia, Urea Cycle and Transporter Defects Sequencing Panel
MCCC2	MCCC2	Reflex Del/Dup Testing after Hyperammonemia Panel
MCEE	MCEE	Methylmalonic Acidemia, Cobalamin Metabolism and Related Disorders Sequencing Panel
MCEE	MCEE	Reflex Del/Dup Testing After MMA and Related Disorders Panel
MCOLN1	MCOLN1	MCOLN1 Del/Dup
MCOLN1	MCOLN1	MCOLN1 Gene Sequencing
MCPH1	MCPH1	Microcephaly Panel
MECP2	MECP2	Rett/Angelman Syndrome Panel
MECP2	MECP2	STAT Epilepsy Panel
MECP2	MECP2	MECP2 Gene Sequencing & Del/Dup
MECP2	MECP2	Microcephaly Panel
